team,fifa_rank,goals_scored_avg,goals_conceded_avg,win_rate_12m,knockout_win_rate,girone
Mexico,17,1.60,1.00,0.62,0.52,A
South Africa,32,1.22,1.08,0.52,0.42,A
South Korea,21,1.50,0.95,0.61,0.52,A
Czech Republic,27,1.42,1.02,0.58,0.48,A
Canada,40,1.45,1.10,0.58,0.46,B
Bosnia and Herzegovina,30,1.38,1.05,0.56,0.46,B
Qatar,57,1.18,1.02,0.54,0.43,B
Switzerland,16,1.48,0.82,0.63,0.57,B
Brazil,5,1.92,0.75,0.74,0.65,C
Morocco,11,1.35,0.72,0.65,0.62,C
Haiti,88,0.98,1.30,0.40,0.32,C
Scotland,38,1.32,1.05,0.57,0.46,C
United States,12,1.55,1.05,0.64,0.55,D
Paraguay,31,1.25,1.05,0.54,0.44,D
Australia,22,1.38,1.02,0.58,0.48,D
Turkey,28,1.48,1.05,0.60,0.50,D
Germany,8,1.95,0.95,0.68,0.60,E
Curacao,70,1.05,1.20,0.44,0.35,E
Ivory Coast,42,1.32,1.05,0.55,0.46,E
Ecuador,26,1.42,1.08,0.57,0.46,E
Netherlands,7,1.85,0.82,0.70,0.62,F
Japan,15,1.72,0.88,0.67,0.58,F
Sweden,23,1.55,0.90,0.62,0.52,F
Tunisia,29,1.25,0.95,0.55,0.45,F
Belgium,9,1.75,0.90,0.65,0.58,G
Egypt,33,1.35,0.98,0.58,0.48,G
Iran,20,1.30,0.90,0.60,0.50,G
New Zealand,100,1.05,1.25,0.44,0.35,G
Spain,4,2.05,0.68,0.78,0.71,H
Cape Verde,47,1.12,1.10,0.48,0.38,H
Saudi Arabia,55,1.28,1.10,0.52,0.40,H
Uruguay,13,1.68,0.85,0.66,0.61,H
France,2,1.98,0.72,0.76,0.68,I
Senegal,19,1.42,0.92,0.62,0.55,I
Iraq,65,1.22,1.05,0.52,0.42,I
Norway,18,1.72,0.85,0.65,0.54,I
Argentina,1,2.18,0.65,0.82,0.74,J
Algeria,35,1.30,0.98,0.57,0.46,J
Austria,25,1.62,0.98,0.63,0.52,J
Jordan,74,1.15,1.10,0.50,0.40,J
Portugal,6,2.10,0.85,0.73,0.64,K
DR Congo,44,1.25,1.12,0.52,0.42,K
Uzbekistan,72,1.18,1.08,0.50,0.40,K
Colombia,14,1.65,0.95,0.65,0.56,K
England,3,1.88,0.80,0.72,0.62,L
Croatia,10,1.52,0.88,0.64,0.65,L
Ghana,52,1.28,1.10,0.53,0.44,L
Panama,63,1.15,1.12,0.48,0.38,L
